Time,Personen (wifi),Out
2021-01-16 08:00:00,4.3,5
2021-01-16 08:15:00,3.7,6
2021-01-16 08:30:00,3,5.3
2021-01-16 08:45:00,6.3,4.7
2021-01-16 09:00:00,6.7,5.7
2021-01-16 09:15:00,7.3,8.7
2021-01-16 09:30:00,9.3,5.7
2021-01-16 09:45:00,7,6.3
2021-01-16 10:00:00,6,6
2021-01-16 10:15:00,7,6.3
2021-01-16 10:30:00,5.3,7.3
2021-01-16 10:45:00,8.3,6.3
2021-01-16 11:00:00,5.7,8.3
2021-01-16 11:15:00,6,7.3
2021-01-16 11:30:00,4.7,8
2021-01-16 11:45:00,8.3,9
2021-01-16 12:00:00,6.3,10
2021-01-16 12:15:00,7.7,13
2021-01-16 12:30:00,6.7,7.3
2021-01-16 12:45:00,9.7,10
2021-01-16 13:00:00,7,10
2021-01-16 13:15:00,7,9.3
2021-01-16 13:30:00,6.3,8.3
2021-01-16 13:45:00,6.7,10
2021-01-16 14:00:00,7,12
2021-01-16 14:15:00,10,10
2021-01-16 14:30:00,7.3,8.7
2021-01-16 14:45:00,6,10
2021-01-16 15:00:00,7.7,9.3
2021-01-16 15:15:00,7,7.3
2021-01-16 15:30:00,7.3,9.7
2021-01-16 15:45:00,8.7,12
2021-01-16 16:00:00,6.7,10
2021-01-16 16:15:00,6.7,8.7
2021-01-16 16:30:00,6.7,6.3
2021-01-16 16:45:00,6.7,7
2021-01-16 17:00:00,7.7,7.7
2021-01-16 17:15:00,8,8
2021-01-16 17:30:00,6,8
2021-01-16 17:45:00,7.7,11
2021-01-16 18:00:00,8,11
2021-01-16 18:15:00,6.7,10
2021-01-16 18:30:00,5,8.7
2021-01-16 18:45:00,6.7,9
2021-01-16 19:00:00,5,9
2021-01-16 19:15:00,7.3,9.7
2021-01-16 19:30:00,4.3,7.3
2021-01-16 19:45:00,6.3,9
2021-01-16 20:00:00,5.7,7.7
2021-01-16 20:15:00,7,8
2021-01-16 20:30:00,4.7,9
2021-01-16 20:45:00,5.7,9
2021-01-16 21:00:00,4.3,9.7
2021-01-16 21:15:00,5,9.3
2021-01-16 21:30:00,5,9.3
2021-01-16 21:45:00,4.7,7.7
2021-01-16 22:00:00,3.3,8.7
2021-01-16 22:15:00,5,6
2021-01-16 22:30:00,4,7
2021-01-16 22:45:00,3.7,7.3
2021-01-16 23:00:00,3.7,9.3
2021-01-16 23:15:00,3.7,7
2021-01-16 23:30:00,2.7,5
2021-01-16 23:45:00,3.3,7
2021-01-17 00:00:00,2.7,6.7
2021-01-17 00:15:00,3.3,6.7
2021-01-17 00:30:00,2.7,9.3
2021-01-17 00:45:00,3,8.7
2021-01-17 01:00:00,3,5.7
2021-01-17 01:15:00,3.7,9.3
2021-01-17 01:30:00,3,7
2021-01-17 01:45:00,3,6.3
2021-01-17 02:00:00,2.7,6.3
2021-01-17 02:15:00,2.7,6
2021-01-17 02:30:00,3,6.7
2021-01-17 02:45:00,3,6.7
2021-01-17 03:00:00,2,6.7
2021-01-17 03:15:00,2.7,7
2021-01-17 03:30:00,2,6.7
2021-01-17 03:45:00,2.3,6.7
2021-01-17 04:00:00,2.7,7.3
2021-01-17 04:15:00,2.7,8
2021-01-17 04:30:00,2,6.3
2021-01-17 04:45:00,3,7.7
2021-01-17 05:00:00,2.3,7
2021-01-17 05:15:00,3,7.3
2021-01-17 05:30:00,3.7,7.3
2021-01-17 05:45:00,2.3,7.3
2021-01-17 06:00:00,3,8.3
2021-01-17 06:15:00,2.7,7.3
2021-01-17 06:30:00,1.7,7
2021-01-17 06:45:00,2,8
2021-01-17 07:00:00,1.7,8
2021-01-17 07:15:00,2,10
2021-01-17 07:30:00,2.7,10
2021-01-17 07:45:00,2.3,10
2021-01-17 08:00:00,3,15
2021-01-17 08:15:00,3.7,13
2021-01-17 08:30:00,4.3,12
2021-01-17 08:45:00,4.3,13
2021-01-17 09:00:00,4,14
2021-01-17 09:15:00,4,14
2021-01-17 09:30:00,3,14
2021-01-17 09:45:00,4.7,13
2021-01-17 10:00:00,5.3,12
2021-01-17 10:15:00,7.7,10
2021-01-17 10:30:00,6.7,13
2021-01-17 10:45:00,4,15
2021-01-17 11:00:00,3.7,13
2021-01-17 11:15:00,7,12
2021-01-17 11:30:00,8,14
2021-01-17 11:45:00,6.3,14
2021-01-17 12:00:00,7.3,13
2021-01-17 12:15:00,7,16
2021-01-17 12:30:00,7,12
2021-01-17 12:45:00,6,13
2021-01-17 13:00:00,7.3,13
2021-01-17 13:15:00,6,14
2021-01-17 13:30:00,5.3,12
2021-01-17 13:45:00,6.7,17
2021-01-17 14:00:00,4.3,11
2021-01-17 14:15:00,2,13
2021-01-17 14:30:00,4.3,14
2021-01-17 14:45:00,5.3,12
2021-01-17 15:00:00,6,15
2021-01-17 15:15:00,4.7,16
2021-01-17 15:30:00,3.3,12
2021-01-17 15:45:00,4,16
2021-01-17 16:00:00,4.7,17
2021-01-17 16:15:00,5,16
2021-01-17 16:30:00,5.3,15
2021-01-17 16:45:00,6.7,14
2021-01-17 17:00:00,5.3,12
2021-01-17 17:15:00,7.3,12
2021-01-17 17:30:00,7.3,12
2021-01-17 17:45:00,8.7,12
2021-01-17 18:00:00,9.3,9.3
2021-01-17 18:15:00,9,7.7
2021-01-17 18:30:00,8.7,9.3
2021-01-17 18:45:00,7.3,11
2021-01-17 19:00:00,8,9
2021-01-17 19:15:00,8.3,7
2021-01-17 19:30:00,5,9.3
2021-01-17 19:45:00,6.7,10
2021-01-17 20:00:00,9.3,10
2021-01-17 20:15:00,8.3,12
2021-01-17 20:30:00,9.3,10
2021-01-17 20:45:00,8,12
2021-01-17 21:00:00,9,8.3
2021-01-17 21:15:00,7.7,10
2021-01-17 21:30:00,4.7,7.3
2021-01-17 21:45:00,6.7,8.7
2021-01-17 22:00:00,6.7,7
2021-01-17 22:15:00,8,7.7
2021-01-17 22:30:00,8,9.3
2021-01-17 22:45:00,5.3,7.7
2021-01-17 23:00:00,3.7,9
2021-01-17 23:15:00,5.7,7
2021-01-17 23:30:00,5.3,7.3
2021-01-17 23:45:00,6.7,6.3
2021-01-18 00:00:00,7,6.7
2021-01-18 00:15:00,6.3,7.7
2021-01-18 00:30:00,5,8.3
2021-01-18 00:45:00,5,6.7
2021-01-18 01:00:00,7,6
2021-01-18 01:15:00,4.3,5.7
2021-01-18 01:30:00,4.7,4.7
2021-01-18 01:45:00,4.3,6
2021-01-18 02:00:00,4.3,4.7
2021-01-18 02:15:00,4.7,6.3
2021-01-18 02:30:00,4,6.3
2021-01-18 02:45:00,3.7,5
2021-01-18 03:00:00,2.7,4
2021-01-18 03:15:00,4.3,6.3
2021-01-18 03:30:00,2.7,5
2021-01-18 03:45:00,2.7,4.7
2021-01-18 04:00:00,3,6
2021-01-18 04:15:00,3,5
2021-01-18 04:30:00,2.3,5.7
2021-01-18 04:45:00,3.7,5.7
2021-01-18 05:00:00,3,4
2021-01-18 05:15:00,4.3,4.3
2021-01-18 05:30:00,3.3,5.3
2021-01-18 05:45:00,4,5.7
2021-01-18 06:00:00,4,5.7
2021-01-18 06:15:00,5,4.3
2021-01-18 06:30:00,5.7,5
2021-01-18 06:45:00,4.3,7.7
2021-01-18 07:00:00,6,9.3
2021-01-18 07:15:00,6.3,11
2021-01-18 07:30:00,6.3,11
2021-01-18 07:45:00,8.3,12
2021-01-18 08:00:00,11,12
2021-01-18 08:15:00,13,13
2021-01-18 08:30:00,10,16
2021-01-18 08:45:00,13,16
2021-01-18 09:00:00,11,14
2021-01-18 09:15:00,16,15
2021-01-18 09:30:00,12,14
2021-01-18 09:45:00,11,15
2021-01-18 10:00:00,12,13
2021-01-18 10:15:00,12,17
2021-01-18 10:30:00,12,16
2021-01-18 10:45:00,9,19
2021-01-18 11:00:00,14,19
2021-01-18 11:15:00,13,17
2021-01-18 11:30:00,13,15
